date,city,no2_trop_mean,aai_mean,cloud_frac_mean,temperature_celsius,pressure_hpa,u_wind_10m,v_wind_10m
2020-07-04,Surgut,1.3193614944529894e-05,-1.4381561885870977,0.0624603503935011,18.648236444411623,1004.9757549118012,2.0270616301444218,-2.865834573907061
2020-07-05,Surgut,2.2736605948745774e-05,-1.43501795690248,0.1341976479399988,19.68405135362974,1003.9386527862016,1.260498892930018,-0.907118246751408
2020-07-06,Surgut,4.5703500892515554e-05,-1.7729385762079113,0.2968350526901012,20.902449342632792,1001.7354367483404,1.5704970580475293,-0.2820529804031841
2020-07-07,Surgut,2.4211717317875416e-05,-2.001695988497623,0.2222648996713861,22.407545931986878,1004.355350423314,2.402634460116236,-0.8923530003554888
2020-07-08,Surgut,2.2096781518924577e-05,-1.5120454029644657,0.0717005592186893,25.30277087321593,1006.4549896728018,2.543735378002388,-0.6516619535495908
2020-07-09,Surgut,5.236181442813354e-05,-1.4228317878968757,0.5810182041906553,19.690447818841847,1003.6203526539592,0.3224611500490697,-2.4900601036831405
2020-07-10,Surgut,2.08783327575278e-05,-1.430143524090234,0.131699080561862,17.923594481203054,1003.402404664763,1.7004052132257057,-3.761622608245215
2020-07-11,Surgut,5.191271491986504e-05,-1.6158035590089666,0.5671794936939369,20.56866593179245,999.1826882817818,2.6427792875887963,0.4043823596935779
2020-07-12,Surgut,,0.0,0.8947850305251229,16.200866156912127,1002.179634909862,3.3338414385394883,-1.9737639953342956
2020-07-13,Surgut,1.8668338173363717e-05,-1.452605890414699,0.1769874618226467,19.677046935271733,1004.0146011595208,2.876166922281182,-0.9944742611001536
2020-07-14,Surgut,2.038442393036651e-05,-1.414536309027928,0.0035425265950464,16.17609616824268,1015.149712914958,1.0051822823572345,-0.7819699852702394
2020-07-15,Surgut,1.862105395150121e-05,-0.9893228633017616,0.3945557165867879,23.19631350452744,1009.1158731803932,2.4386062336308028,2.374244508341004
2020-07-16,Surgut,-3.6677600228971463e-06,-1.0845477948018791,0.6404551094518184,20.781916053538797,1010.6190339870976,-0.5083536462027766,-1.9157140727647333
2020-07-17,Surgut,1.5091699518341248e-05,-2.017923709995363,0.0866884674543965,19.25318098245117,1012.0039824129163,-2.5769513270815123,0.9152516373952688
2020-07-18,Surgut,1.6690068814505507e-05,-2.1506071309196204,0.3496150383844551,22.80965949871017,1005.5554527716644,0.1122267596668068,2.1414565935743464
2020-07-19,Surgut,1.837382344271589e-05,-1.6508507942212023,0.0542206536345747,21.394965775039797,1002.5140316017314,1.7810952610987305,-2.6790962915306302
2020-07-20,Surgut,,0.0,0.85272290852285,15.916336865771484,1008.1208968591876,-1.4169588927365369,-4.555697103362912
2020-07-21,Surgut,1.585797460240485e-05,-1.4400931265084436,0.0040393656524834,18.133972752665898,1009.6992918773686,0.0202800701984738,-3.03233956520371
2020-07-22,Surgut,1.707877654645128e-05,-1.6282209645585932,0.0658286978941906,14.54238480481331,1009.496432607955,-0.655461158106038,-3.7551510038797233
2020-07-23,Surgut,1.5344527537687925e-05,-2.009336874775503,0.3956693712003617,16.106061614392956,1007.3917207543336,0.1117304572834445,-3.4013463337776795
2020-07-24,Surgut,2.128049956194929e-05,-1.1183445472389093,0.0483019417927327,15.551143614485568,1006.0345366761948,-0.7635886095246648,-2.48032216418703
2020-07-25,Surgut,1.7841963512724e-05,-1.4474271892393074,0.3290938811982091,14.742668956452007,1007.8258322324856,-0.0970897265018878,-2.0109517460750355
2020-07-26,Surgut,1.3378945712681888e-05,-1.293730443889521,0.3528224722719986,17.111549778150447,1007.3853219109984,-0.1149436123348297,-2.5070203051173383
2020-07-27,Surgut,1.2584890801977902e-05,-1.660566511611183,0.1305618648432378,14.09777264482898,1008.3393128486412,-0.2239031300198805,-3.49396657480508
2020-07-28,Surgut,,-2.2970970277111222,0.7015288658171775,12.30444571243629,1006.4970136550144,1.3677569473658415,-2.368890941522684
2020-07-29,Surgut,1.0553703208004988e-05,-1.4640263899322468,0.5020188780560608,13.50124802730187,1005.8136318767398,1.6513279102763867,-1.0359945676315576
2020-07-30,Surgut,1.8097243237884285e-05,-1.6189236492601884,0.1882080029552071,15.149200136682625,1005.1980855134352,0.9911050655490068,0.048607289545172
2020-07-31,Surgut,2.39660281220165e-05,-1.9776579054303856,0.100404846792054,16.684350196949367,1003.5340176486588,-0.4718231839476183,1.6582337400114115
2020-08-01,Surgut,,0.0,0.6888912559238317,17.487944965204406,1003.4946096464954,-0.0456304095167048,2.9154795870368155
2020-08-02,Surgut,3.058311530138087e-05,-1.823041235860936,0.0538014082450799,21.165344699581052,1009.911510441117,-0.1544278078066233,1.8901698051706
2020-08-03,Surgut,1.8130569440522213e-05,-2.102879387388663,0.0238479744845256,25.03106964827117,1009.7905019841476,-0.1825902391997676,2.940320236113755
2020-08-04,Surgut,2.8829744595979026e-05,-1.8770437960856,0.0306993018834663,25.651765962761203,1012.1861526334364,-0.9445354283794362,0.0359578444561085
2020-08-05,Surgut,2.871789196504541e-05,-1.9632782430871367,0.5253850955009511,21.616879958993422,1014.8979409279636,0.376353677484425,-2.910675345172782
2020-08-06,Surgut,2.775668853857043e-05,-1.6355152147423604,0.0619692640351703,19.75165942940521,1014.963032195266,-0.364437951771527,-2.193155235383285
2020-08-07,Surgut,7.546044435690241e-05,-1.9028952544196445,0.0405924304556159,20.187228279983344,1010.4942759649514,-0.3547953605002396,0.2869269040390853
2020-08-08,Surgut,2.5840544892342872e-05,-1.9694776781946055,0.0099984915958163,22.03336798969684,1003.9787134316211,-0.2450906696769617,2.074065173273499
2020-08-09,Surgut,1.283673180610066e-05,-1.3999156366311876,0.1277667130701014,22.8294927430556,1000.4439497722252,-1.5252189475775706,1.3917211676161578
2020-08-10,Surgut,1.2911732782645144e-05,-2.032585330068931,0.0413922034161079,23.76106220637024,996.4920240461744,-2.988128949323393,1.1202181704231635
2020-08-11,Surgut,1.425536259407239e-05,-1.387550647936027,0.4357608766026228,23.07445045502976,992.6546128134872,-1.6827610395459256,1.061947025693256
2020-08-12,Surgut,,-1.7503336592195788,0.6268444501118396,18.354914704716972,992.9789063346958,0.9083364214914535,-2.187336748267043
2020-08-13,Surgut,,0.0,0.9630783267590992,12.438042638691796,998.1604913435943,1.2878951249307715,-4.995691972522311
2020-08-14,Surgut,,0.0,0.95721836602833,10.6593356605581,1003.3687716607687,1.2657562524793002,-4.255326941490594
2020-08-15,Surgut,,0.0,0.90836065530236,11.131264130257309,1005.6069394003908,1.2408784472951426,-3.06500791809008
2020-08-16,Surgut,,0.0,0.8934346401896125,11.834828446445613,1004.8738932495094,0.620326016005886,0.339903260095854
2020-08-17,Surgut,,-1.7794362303724107,0.4364944249580191,15.036930299879714,998.2798285761752,-2.950210195213672,1.0871016971290302
2020-08-18,Surgut,4.439263303652947e-06,-1.150225550710046,0.5146283721501185,15.874911288338808,990.311859038682,-2.437235367086574,0.9186483442518318
2020-08-19,Surgut,1.0988792724319996e-05,-1.8351457613016695,0.3250945647796011,14.776216339962843,986.9699855029584,-1.325740723208214,1.844796488134448
2020-08-20,Surgut,1.5714193843399237e-05,-1.6908131352269573,0.2526665828667523,14.782137777869991,988.2886912601354,-1.712862837674196,-0.3804249767165857
2020-08-21,Surgut,1.233373074079672e-05,-2.3330761938756406,0.80975023930647,13.575682680258067,989.4632558620352,0.994141089860357,0.1833549856313436
2020-08-22,Surgut,1.0586378423838963e-05,-1.7099668841413955,0.5541460968332883,13.033028509757912,991.9337757418086,0.5877262664539417,-1.936035689122162
2020-08-23,Surgut,3.001125506455742e-05,-1.8687745636088369,0.5853442390417246,12.206688515534438,992.3249331708192,-0.3064650445537814,-0.8033648014393333
2020-08-24,Surgut,1.5713254514891567e-05,-1.9065253999116747,0.418762509982951,13.36172681743608,996.370455039474,-0.0310848283303527,-1.7849174186367067
2020-08-25,Surgut,9.297860978842888e-06,-1.7327113539600836,0.5084226390360619,13.222103438155727,999.0749994243432,0.4793607544231381,-2.0379096057100505
2020-08-26,Surgut,1.826475868868354e-05,-1.5824794332924708,0.338908421213285,14.132052514625911,1002.6981399481,-0.1424069012825016,-1.5050936815510696
2020-08-27,Surgut,2.4273901881879284e-05,-1.5520260572385025,0.2590628886662073,14.64315761755188,1007.1946229249364,1.259539386097477,-0.0841871189945989
2020-08-28,Surgut,2.874999573721386e-05,-1.5607417363294618,0.4488560344731579,16.053864253809422,1005.524060113656,1.326850644490497,1.975680048728474
2020-08-29,Surgut,,0.0,0.7239386261551999,15.447068574820776,1010.4395251163128,2.113320410817506,-1.4591083567393577
2020-08-30,Surgut,,-1.6557291880797629,0.6471895292485297,15.866060963218729,1010.6587033236924,-1.1351506575862642,0.5758729891216783
2020-08-31,Surgut,1.5498555400415318e-05,-1.6768946077225788,0.5267200106684745,15.928238435095864,999.240286277793,3.3624124068917407,1.8314621913644615
2020-09-01,Surgut,,0.0,0.914405077037648,12.285141927686029,998.6776346175932,3.8225362272124657,-1.1984728676278646
2020-09-02,Surgut,,0.0,0.9581601550978364,10.935083680805576,999.0850178639386,1.2058070691327265,-2.1423035849746683
2020-09-03,Surgut,,0.0,0.8581891033305655,9.146279841516504,1003.5691286216884,0.9842805533494504,-4.207259009736655
2020-09-04,Surgut,,0.0,0.7943770126547689,9.378713983282807,1008.1602545069436,0.5327852454909633,-4.75377779347829
2020-09-05,Surgut,,0.0,0.9379373242096266,8.499766136150868,1008.3542345667682,1.285127067023428,-4.834835321901416
2020-09-06,Surgut,,0.0,0.986649939471964,7.850432074712216,1004.7747649896849,-0.4504493722853377,-3.082271313369309
2020-09-07,Surgut,,0.0,0.7422392318837819,8.134612867516296,1015.2514231013072,-1.8034364501429887,-1.5752346540010262
2020-09-08,Surgut,2.1660441858407213e-05,-1.759988926251058,0.1304633688659327,8.720557059931537,1017.4959866211366,1.046723661287871,-0.3236517074689486
2020-09-09,Surgut,,0.0,0.7622569869305873,10.737778412324872,1013.4194539195352,1.4997003363745434,2.042901072852462
2020-09-10,Surgut,2.203546958936442e-05,-1.856987418888632,0.1087129681527729,14.462629713368583,1010.7954276117714,1.8075553821609105,2.437439805502521
2020-09-11,Surgut,1.354975639598419e-05,-1.4008244802698318,0.4167025030929377,13.692582596048965,1011.6720679214612,0.7059657655359962,3.6009109210677672
2020-09-12,Surgut,2.2801673004592977e-05,-1.1284134177365035,0.3087651999320961,13.986307580326866,1009.8662865040257,-0.2561575943798188,3.812945812781814
2020-09-13,Surgut,2.178336295578455e-05,-1.2327883725083435,0.260728839216061,11.956912482717428,1012.093022048413,1.6094705880187294,1.204241081875868
2020-09-14,Surgut,,-0.9092658122429084,0.4147052921190601,11.65287526069602,1008.440200455463,-0.27909320228753,2.1470344385905737
2020-09-15,Surgut,1.782918602764602e-05,-1.0951516720167185,0.1534552980649752,14.286815516505442,999.026505239082,-2.6508706979194208,2.3668222990105923
2020-09-16,Surgut,1.6234889514573745e-05,-1.5241937535179566,0.0553134659992754,13.04016642005655,990.0697701657044,-3.452927678698115,0.4327078957839045
2020-09-17,Surgut,,0.0,0.7670949332987161,10.02716880322788,990.815375468584,0.1614872706613112,2.367680841916666
2020-09-18,Surgut,,0.0,0.9367103479717496,7.650018969710345,996.1884348253382,3.3151292630133606,0.0454193789602801
2020-09-19,Surgut,1.595475683869679e-05,-1.4502367664510551,0.3646348464267361,8.019983049904795,1001.357663205607,1.3400752976771342,2.610065738083112
2020-09-20,Surgut,9.210281436860163e-06,-1.3511243611820856,0.2197450496512883,12.399899666554688,996.8683724234132,-1.0956901225104658,4.214672719515874
2020-09-21,Surgut,1.7965035377535802e-05,-1.0736257129561233,0.2608874762856982,12.27173610149822,988.606149345954,-0.0408152014963835,4.584005668678761
2020-09-22,Surgut,,0.0,0.7735134829527729,5.780858071098862,993.4637798504284,1.6464110548926134,3.1515528240375
2020-09-23,Surgut,5.552222348804859e-06,-1.078201948325787,0.4512291277923875,5.686563766076631,990.925265358551,-2.64160971299046,1.8123354972356769
2020-09-24,Surgut,,-1.6410496302149873,0.6471244510903555,6.7424741630002245,1005.5032156941882,-0.5096414107063024,-3.6881117997622006
2020-09-25,Surgut,2.247112734516285e-05,-1.5941044191525644,0.0576008040190175,5.82837833501884,1019.8524485314437,1.35174954730731,-1.4700818826089903
2020-09-26,Surgut,2.5690332458954487e-05,-1.4203244308350185,0.6615759402372078,7.620578914740577,1022.057823034732,1.8488600977346863,1.3158693048513996
2020-09-27,Surgut,1.6949969308121307e-05,-1.5804193157963498,0.1539300133697575,11.052805366404584,1018.49511314382,2.560193630564324,0.9282334410685336
2020-09-28,Surgut,9.88950967074648e-06,-1.147427894507541,0.40988625610941,6.009786144749,1023.6553438078586,0.2288094966671278,-3.263796216506622
2020-09-29,Surgut,3.34591457100236e-05,-1.1149687260780092,0.3162512725806449,4.962212765490506,1026.728788113831,2.3311083548029745,0.7529072950452019
2020-09-30,Surgut,,0.0,0.9525956994568412,8.003113834121507,1021.2356805932156,1.808193177064775,-0.9114863506442904
2021-02-01,Surgut,,-0.9216932335368452,0.6165260153171395,-11.745878353209832,1015.2224417397512,-0.8704361260971167,3.3861652783742398
2021-02-02,Surgut,,-1.2323769225157233,0.4326984846073484,-8.479372011210785,1006.7315917951148,3.0413570138920347,3.376378889177079
2021-02-03,Surgut,,-0.9475559149457612,0.5112528522576738,-10.616573746460404,1002.8165092438372,3.488045310828948,0.7071649192192613
2021-02-04,Surgut,,-1.1345073870681102,0.4137935486799925,-12.699505571636507,1007.9972724892604,3.290234946203657,0.3664978974638079
